Product,Vendor,MDE_SoftwareName
GanttProject,GanttProject,
Garmin Express,Garmin Ltd,
GenesysCloud (EXE-x86),Genesys Inc.,
PeaZip (x64),Giorgio Tani,
PeaZip (x86),Giorgio Tani,
GitHub CLI,"Github, Inc.",
Github Desktop Machine-Wide Installer,"Github, Inc.",
TightVNC (x64),GlavSoft LLC.,tightvnc
TightVNC (x86),GlavSoft LLC.,tightvnc
TightVNC Viewer (x64),GlavSoft LLC.,
TightVNC Viewer (x86),GlavSoft LLC.,
Jabra Direct,GN Audio A/S,jabra_direct
Google Chrome (x64),"Google, Inc.",chrome
Google Chrome (x86),"Google, Inc.",chrome
Google Drive,"Google, Inc.",
Google Earth Pro (x64),"Google, Inc.",earth
Google Earth Pro (x86),"Google, Inc.",earth
XnView,Gougelet Pierre-e,
Greenshot,Greenshot,greenshot_1.2.9.129
SnapGene Viewer,GSL Biotech LLC,
HandBrake (x64),HandBrake,
Adobe AIR Runtime,HARMAN International,
Huddle,Huddle,
IcedTea-Web (x64),IcedTea-Web open-source project,
UltraEdit (x64 en) - EXE Install,"IDM Computer Solutions, Inc.",
UltraEdit (x64 en) - MSI Install,"IDM Computer Solutions, Inc.",
UltraEdit (x86 en) - EXE Install,"IDM Computer Solutions, Inc.",
UltraEdit (x86 en) - MSI Install,"IDM Computer Solutions, Inc.",
7-Zip (x64) - EXE Install,Igor Pavlov,7-zip
7-Zip (x64) - MSI Install,Igor Pavlov,7-zip
7-Zip (x86) - EXE Install,Igor Pavlov,7-zip
7-Zip (x86) - MSI Install,Igor Pavlov,7-zip
VitalSource Bookshelf,Ingram Content Group,
Inkscape (x64),Inkscape Project,
Inkscape (x86),Inkscape Project,
IrfanView (x64),Irfan Skiljan,irfanview
IrfanView (x86),Irfan Skiljan,irfanview
Cyberduck (MSI),iterate GmbH,
IZArc,Ivan Zahariev,
TreeSize Free,JAM Software,treesize
KeePassXC,KeePassXC Team,keepassxc
K-Lite Basic Codec Pack,KLCP,k-lite_codec
K-Lite Full Codec Pack,KLCP,k-lite_codec
K-Lite Mega Codec Pack,KLCP,k-lite_codec
K-Lite Standard Codec Pack,KLCP,k-lite_codec
Kofax Power PDF 4 Advanced,Kofax Inc.,
Kofax Power PDF 4.1 Advanced,Kofax Inc.,
Attendant Pro,Landis Computer,
LsAgent,Lansweeper,
Screenpresso,Learnpulse,
Lenovo Dock Manager,Lenovo,
Lenovo System Update,Lenovo,
AutoHotkey,Lexikos,
ImgBurn,LIGHTNING UK!,
Logi Tune,Logitech,
Logitech Options (x64),Logitech,
GoToMeeting,"LogMeIn, Inc.",gotomeeting
LastPass,"LogMeIn, Inc.",
LogMeIn Client,"LogMeIn, Inc.",
Malwarebytes,Malwarebytes,
WinSCP,Martin Prikryl,winscp
Master Packager,Master Packager Ltd.,
Shotcut,"Meltytech, LLC",
Mendeley Desktop,Mendeley Ltd.,
Solstice Client,"Mersive Technologies, Inc",
MicroDicom Viewer (x64),MicroDicom,
MicroDicom Viewer (x86),MicroDicom,
ConfigMgr Client Toolkit,Microsoft Corporation,
Local Administrator Password Solution (x64),Microsoft Corporation,local_administrator_password_solution
Local Administrator Password Solution (x86),Microsoft Corporation,local_administrator_password_solution
Microsoft .NET Core Runtime and Hosting Bundle 2,Microsoft Corporation,
Microsoft .NET Core Runtime and Hosting Bundle 3,Microsoft Corporation,
Microsoft .NET Core Runtime and Hosting Bundle 5,Microsoft Corporation,
Microsoft .NET Core Runtime and Hosting Bundle 6,Microsoft Corporation,
Microsoft Azure CLI,Microsoft Corporation,
Microsoft Azure Data Studio,Microsoft Corporation,
Microsoft Azure Functions Core Tools (x64),Microsoft Corporation,
Microsoft Azure Information Protection,Microsoft Corporation,
Microsoft Azure Storage Explorer,Microsoft Corporation,
Microsoft Edge (x64),Microsoft Corporation,
Microsoft Edge (x86),Microsoft Corporation,
Microsoft Edge WebView2 Runtime (EXE-x64),Microsoft Corporation,
Microsoft EMET,Microsoft Corporation,
Microsoft Mouse and Keyboard Center (x64),Microsoft Corporation,
Microsoft Mouse and Keyboard Center (x86),Microsoft Corporation,
Microsoft OneDrive (x64),Microsoft Corporation,
Microsoft OneDrive (x86),Microsoft Corporation,
Microsoft OpenJDK 11 (x64),Microsoft Corporation,
Microsoft OpenJDK 17 (x64),Microsoft Corporation,
Microsoft OpenJDK Latest (x64),Microsoft Corporation,
Microsoft Power BI Desktop (x64),Microsoft Corporation,microsoft_powerbi_desktop_(x64)
Microsoft Power BI Desktop (x86),Microsoft Corporation,
Microsoft Power BI Desktop Report Server (x64),Microsoft Corporation,
Microsoft Power BI Report Builder,Microsoft Corporation,
Microsoft PowerToys,Microsoft Corporation,powertoys
Microsoft SQL Server Management Studio 16,Microsoft Corporation,
Microsoft SQL Server Management Studio 17,Microsoft Corporation,
Microsoft SQL Server Management Studio 18,Microsoft Corporation,
Microsoft SQL Server Management Studio 18 (fr-FR),Microsoft Corporation,
Microsoft SQL Server Reporting Services 2017,Microsoft Corporation,
Microsoft Teams (x64),Microsoft Corporation,
Microsoft Teams (x86),Microsoft Corporation,
Microsoft Visual C++ 2015-2019 Redistributable (x64),Microsoft Corporation,microsoft_visual_c++_2015_
Microsoft Visual C++ 2015-2019 Redistributable (x86),Microsoft Corporation,microsoft_visual_c++_2015_
Microsoft Visual C++ 2015-2022 Redistributable (x64),Microsoft Corporation,microsoft_visual_c++_2015_
Microsoft Visual C++ 2015-2022 Redistributable (x86),Microsoft Corporation,microsoft_visual_c++_2015_
Microsoft Visual Studio Code (x64),Microsoft Corporation,visual_studio_code
Microsoft Visual Studio Code (x86),Microsoft Corporation,visual_studio_code
Power Automate Desktop,Microsoft Corporation,
PowerShell Core (x64),Microsoft Corporation,powershell
PowerShell Core (x86),Microsoft Corporation,powershell
Remote Desktop Client for Windows Desktop (x64),Microsoft Corporation,
Skype 8,Microsoft Corporation,
Sysmon (x64),Microsoft Corporation,
Sysmon (x86),Microsoft Corporation,
Mimecast for Outlook (x64),Mimecast Ltd,
Mimecast for Outlook (x86),Mimecast Ltd,
Mozilla Firefox (x64 cs),Mozilla,firefox
Mozilla Firefox (x64 da),Mozilla,firefox
Mozilla Firefox (x64 de),Mozilla,firefox
Mozilla Firefox (x64 en-GB),Mozilla,firefox
Mozilla Firefox (x64 en-US),Mozilla,firefox
Mozilla Firefox (x64 es-ES),Mozilla,firefox
Mozilla Firefox (x64 es-MX),Mozilla,firefox
Mozilla Firefox (x64 fi),Mozilla,firefox
Mozilla Firefox (x64 fr),Mozilla,firefox
